by,bin,n_plays,actual
Deep,0.15,50,0.14
Deep,0.2,349,0.2177650429799427
Deep,0.25,2596,0.26617873651771956
Deep,0.3,8649,0.29159440397733843
Deep,0.35,8131,0.38334768171196654
Deep,0.4,8251,0.3833474730335717
Deep,0.45,7169,0.43367275770679314
Deep,0.5,6151,0.477320760851894
Deep,0.55,5967,0.5545500251382605
Deep,0.6,6112,0.6024214659685864
Deep,0.65,4032,0.6418650793650794
Deep,0.7,2620,0.666412213740458
Deep,0.75,1073,0.6775396085740913
Intermediate,0.25,145,0.2896551724137931
Intermediate,0.3,775,0.29419354838709677
Intermediate,0.35,2075,0.35180722891566263
Intermediate,0.4,3448,0.412122969837587
Intermediate,0.45,4750,0.448
Intermediate,0.5,4532,0.4796999117387467
Intermediate,0.55,7251,0.5464073920838505
Intermediate,0.6,11832,0.6170554428668019
Intermediate,0.65,17365,0.6765332565505326
Intermediate,0.7,22614,0.6945255151675953
Intermediate,0.75,18581,0.7351595716054034
Intermediate,0.8,12001,0.7667694358803433
Intermediate,0.85,1263,0.768012668250198
Short,0.2,30,0.3
Short,0.25,127,0.3464566929133858
Short,0.3,261,0.3716475095785441
Short,0.35,598,0.362876254180602
Short,0.4,819,0.39316239316239315
Short,0.45,2177,0.4492420762517226
Short,0.5,2912,0.5013736263736264
Short,0.55,4559,0.5667909629304672
Short,0.6,6035,0.5950289975144988
Short,0.65,3768,0.6369426751592356
Short,0.7,8088,0.7030168150346192
Short,0.75,26265,0.7731201218351418
Short,0.8,54353,0.8032675289312458
Short,0.85,48086,0.8399118246475066
Short,0.9,13835,0.8762558727864113
