by,bin,n_plays,actual
Field_Goal,0.0,7856,0.004837067209775967
Field_Goal,0.05,25828,0.04243456713644107
Field_Goal,0.1,74779,0.09696572567164578
Field_Goal,0.15,182885,0.14806572436230417
Field_Goal,0.2,300093,0.19472630151319759
Field_Goal,0.25,213981,0.2392969469251943
Field_Goal,0.3,127653,0.2887045349502166
Field_Goal,0.35,92146,0.3429774488312027
Field_Goal,0.4,63380,0.38815083622593877
Field_Goal,0.45,35111,0.4359317592777192
Field_Goal,0.5,20508,0.48166569143748783
Field_Goal,0.55,15231,0.5452038605475674
Field_Goal,0.6,9306,0.5949924779712014
Field_Goal,0.65,5164,0.6465917893106119
Field_Goal,0.7,4366,0.6823179111314704
Field_Goal,0.75,3988,0.7402206619859579
Field_Goal,0.8,4030,0.7883374689826302
Field_Goal,0.85,5821,0.851743686651778
Field_Goal,0.9,3510,0.9230769230769231
No_Score,0.0,523747,0.011014860228316343
No_Score,0.05,201996,0.05596150418820175
No_Score,0.1,90210,0.11441081919964527
No_Score,0.15,66211,0.17072691848786456
No_Score,0.2,51193,0.22251089016076417
No_Score,0.25,38812,0.27488920952282797
No_Score,0.3,31328,0.32577885597548517
No_Score,0.35,28519,0.36673796416424137
No_Score,0.4,26983,0.41229663121224475
No_Score,0.45,24443,0.4618500184101788
No_Score,0.5,20956,0.5056785646115671
No_Score,0.55,16173,0.552340320286898
No_Score,0.6,13112,0.6073062843197071
No_Score,0.65,11093,0.6487875236635716
No_Score,0.7,10195,0.7177047572339382
No_Score,0.75,9410,0.7609989373007439
No_Score,0.8,7629,0.8153100013107878
No_Score,0.85,6467,0.874284830678831
No_Score,0.9,6288,0.928117048346056
No_Score,0.95,8935,0.969893676552882
No_Score,1.0,1936,0.9891528925619835
Opp_Field_Goal,0.0,194889,0.013222911503471206
Opp_Field_Goal,0.05,249004,0.048589580890266826
Opp_Field_Goal,0.1,260570,0.10355374755344053
Opp_Field_Goal,0.15,308628,0.15039140972303225
Opp_Field_Goal,0.2,145637,0.1916202613346883
Opp_Field_Goal,0.25,30596,0.23444241077265002
Opp_Field_Goal,0.3,5692,0.2854884047786367
Opp_Field_Goal,0.35,590,0.29322033898305083
Opp_Safety,0.0,1182215,0.002464018812144999
Opp_Safety,0.05,11384,0.04128601546029515
Opp_Safety,0.1,1655,0.0755287009063444
Opp_Safety,0.15,298,0.08389261744966443
Opp_Safety,0.2,63,0.031746031746031744
Opp_Touchdown,0.0,138272,0.0128080884054617
Opp_Touchdown,0.05,225496,0.04756625394685493
Opp_Touchdown,0.1,137246,0.10291010302668202
Opp_Touchdown,0.15,152927,0.15640795935315543
Opp_Touchdown,0.2,172242,0.2038004667851047
Opp_Touchdown,0.25,176383,0.25184399857129086
Opp_Touchdown,0.3,113213,0.2956462597051575
Opp_Touchdown,0.35,57974,0.3389795425535585
Opp_Touchdown,0.4,18894,0.38308457711442784
Opp_Touchdown,0.45,2908,0.4143741403026135
Opp_Touchdown,0.5,78,0.4230769230769231
Safety,0.0,1195124,0.0034021574330362373
Safety,0.05,500,0.012
Touchdown,0.0,23719,0.008221257219950252
Touchdown,0.05,41793,0.04457684301198765
Touchdown,0.1,41783,0.09405739176219993
Touchdown,0.15,53141,0.14525507611825145
Touchdown,0.2,83769,0.1990951306569256
Touchdown,0.25,130703,0.25021613887975025
Touchdown,0.3,177741,0.3001052092651667
Touchdown,0.35,211951,0.3444947181188105
Touchdown,0.4,168783,0.3903769929436021
Touchdown,0.45,113539,0.44005143607042513
Touchdown,0.5,62184,0.49458059951112826
Touchdown,0.55,27680,0.5527456647398844
Touchdown,0.6,19778,0.5958135301850541
Touchdown,0.65,11513,0.6628159471901329
Touchdown,0.7,7657,0.6940054851769623
Touchdown,0.75,6124,0.7522860875244938
Touchdown,0.8,5485,0.7965360072926162
Touchdown,0.85,4492,0.850845948352627
Touchdown,0.9,3763,0.8921073611480203
