"term","x","f"
"cpoe",-40,-0.221912774220556
"cpoe",-39.9,-0.221362264340097
"cpoe",-39.8,-0.220811754459637
"cpoe",-39.7,-0.220261244579178
"cpoe",-39.6,-0.219710734698719
"cpoe",-39.5,-0.219160224818259
"cpoe",-39.4,-0.2186097149378
"cpoe",-39.3,-0.21805920505734
"cpoe",-39.2,-0.217508695176881
"cpoe",-39.1,-0.216958185296422
"cpoe",-39,-0.216407675415962
"cpoe",-38.9,-0.215857165535503
"cpoe",-38.8,-0.215306655655043
"cpoe",-38.7,-0.214756145774584
"cpoe",-38.6,-0.214205635894125
"cpoe",-38.5,-0.213655126013665
"cpoe",-38.4,-0.213104616133206
"cpoe",-38.3,-0.212554106252746
"cpoe",-38.2,-0.212003596372287
"cpoe",-38.1,-0.211453086491828
"cpoe",-38,-0.210902576611368
"cpoe",-37.9,-0.210352066730909
"cpoe",-37.8,-0.209801556850449
"cpoe",-37.7,-0.20925104696999
"cpoe",-37.6,-0.20870053708953
"cpoe",-37.5,-0.208150027209071
"cpoe",-37.4,-0.207599517328612
"cpoe",-37.3,-0.207049007448152
"cpoe",-37.2,-0.206498497567693
"cpoe",-37.1,-0.205947987687233
"cpoe",-37,-0.205397477806774
"cpoe",-36.9,-0.204846967926314
"cpoe",-36.8,-0.204296458045855
"cpoe",-36.7,-0.203745948165396
"cpoe",-36.6,-0.203195438284936
"cpoe",-36.5,-0.202644928404477
"cpoe",-36.4,-0.202094418524017
"cpoe",-36.3,-0.201543908643558
"cpoe",-36.2,-0.200993398763099
"cpoe",-36.1,-0.200442888882639
"cpoe",-36,-0.19989237900218
"cpoe",-35.9,-0.19934186912172
"cpoe",-35.8,-0.198791359241261
"cpoe",-35.7,-0.198240849360802
"cpoe",-35.6,-0.197690339480342
"cpoe",-35.5,-0.197139829599883
"cpoe",-35.4,-0.196589319719423
"cpoe",-35.3,-0.196038809838964
"cpoe",-35.2,-0.195488299958504
"cpoe",-35.1,-0.194937790078045
"cpoe",-35,-0.194387280197586
"cpoe",-34.9,-0.193836770317126
"cpoe",-34.8,-0.193286260436667
"cpoe",-34.7,-0.192735750556207
"cpoe",-34.6,-0.192185240675748
"cpoe",-34.5,-0.191634730795289
"cpoe",-34.4,-0.191084220914829
"cpoe",-34.3,-0.19053371103437
"cpoe",-34.2,-0.18998320115391
"cpoe",-34.1,-0.189432691273451
"cpoe",-34,-0.188882181392991
"cpoe",-33.9,-0.188331671512532
"cpoe",-33.8,-0.187781161632073
"cpoe",-33.7,-0.187230651751613
"cpoe",-33.6,-0.186680141871154
"cpoe",-33.5,-0.186129631990694
"cpoe",-33.4,-0.185579122110235
"cpoe",-33.3,-0.185028612229776
"cpoe",-33.2,-0.184478102349316
"cpoe",-33.1,-0.183927592468857
"cpoe",-33,-0.183377082588397
"cpoe",-32.9,-0.182826572707938
"cpoe",-32.8,-0.182276062827479
"cpoe",-32.7,-0.181725552947019
"cpoe",-32.6,-0.18117504306656
"cpoe",-32.5,-0.1806245331861
"cpoe",-32.4,-0.180074023305641
"cpoe",-32.3,-0.179523513425181
"cpoe",-32.2,-0.178973003544722
"cpoe",-32.1,-0.178422493664263
"cpoe",-32,-0.177871983783803
"cpoe",-31.9,-0.177321473903344
"cpoe",-31.8,-0.176770964022884
"cpoe",-31.7,-0.176220454142425
"cpoe",-31.6,-0.175669944261966
"cpoe",-31.5,-0.175119434381506
"cpoe",-31.4,-0.174568924501047
"cpoe",-31.3,-0.174018414620587
"cpoe",-31.2,-0.173467904740128
"cpoe",-31.1,-0.172917394859668
"cpoe",-31,-0.172366884979209
"cpoe",-30.9,-0.17181637509875
"cpoe",-30.8,-0.17126586521829
"cpoe",-30.7,-0.170715355337831
"cpoe",-30.6,-0.170164845457371
"cpoe",-30.5,-0.169614335576912
"cpoe",-30.4,-0.169063825696453
"cpoe",-30.3,-0.168513315815993
"cpoe",-30.2,-0.167962805935534
"cpoe",-30.1,-0.167412296055074
"cpoe",-30,-0.166861786174615
"cpoe",-29.9,-0.166311276294156
"cpoe",-29.8,-0.165760766413696
"cpoe",-29.7,-0.165210256533237
"cpoe",-29.6,-0.164659746652777
"cpoe",-29.5,-0.164109236772318
"cpoe",-29.4,-0.163558726891858
"cpoe",-29.3,-0.163008217011399
"cpoe",-29.2,-0.16245770713094
"cpoe",-29.1,-0.16190719725048
"cpoe",-29,-0.161356687370021
"cpoe",-28.9,-0.160806177489561
"cpoe",-28.8,-0.160255667609102
"cpoe",-28.7,-0.159705157728643
"cpoe",-28.6,-0.159154647848183
"cpoe",-28.5,-0.158604137967724
"cpoe",-28.4,-0.158053628087264
"cpoe",-28.3,-0.157503118206805
"cpoe",-28.2,-0.156952608326345
"cpoe",-28.1,-0.156402098445886
"cpoe",-28,-0.155851588565427
"cpoe",-27.9,-0.155301078684967
"cpoe",-27.8,-0.154750568804508
"cpoe",-27.7,-0.154200058924048
"cpoe",-27.6,-0.153649549043589
"cpoe",-27.5,-0.15309903916313
"cpoe",-27.4,-0.15254852928267
"cpoe",-27.3,-0.151998019402211
"cpoe",-27.2,-0.151447509521751
"cpoe",-27.1,-0.150896999641292
"cpoe",-27,-0.150346489760833
"cpoe",-26.9,-0.149795979880373
"cpoe",-26.8,-0.149245469999914
"cpoe",-26.7,-0.148694960119454
"cpoe",-26.6,-0.148144450238995
"cpoe",-26.5,-0.147593940358535
"cpoe",-26.4,-0.147043430478076
"cpoe",-26.3,-0.146492920597617
"cpoe",-26.2,-0.145942410717157
"cpoe",-26.1,-0.145391900836698
"cpoe",-26,-0.144841390956238
"cpoe",-25.9,-0.144290881075779
"cpoe",-25.8,-0.14374037119532
"cpoe",-25.7,-0.14318986131486
"cpoe",-25.6,-0.142639351434401
"cpoe",-25.5,-0.142088841553941
"cpoe",-25.4,-0.141538331673482
"cpoe",-25.3,-0.140987821793022
"cpoe",-25.2,-0.140437311912563
"cpoe",-25.1,-0.139886802032104
"cpoe",-25,-0.139336292151644
"cpoe",-24.9,-0.138785782271185
"cpoe",-24.8,-0.138235272390725
"cpoe",-24.7,-0.137684762510266
"cpoe",-24.6,-0.137134252629807
"cpoe",-24.5,-0.136583742749347
"cpoe",-24.4,-0.136033232868888
"cpoe",-24.3,-0.135482722988428
"cpoe",-24.2,-0.134932213107969
"cpoe",-24.1,-0.13438170322751
"cpoe",-24,-0.13383119334705
"cpoe",-23.9,-0.133280683466591
"cpoe",-23.8,-0.132730173586131
"cpoe",-23.7,-0.132179663705672
"cpoe",-23.6,-0.131629153825212
"cpoe",-23.5,-0.131078643944753
"cpoe",-23.4,-0.130528134064294
"cpoe",-23.3,-0.129977624183834
"cpoe",-23.2,-0.129427114303375
"cpoe",-23.1,-0.128876604422915
"cpoe",-23,-0.128326094542456
"cpoe",-22.9,-0.127775584661997
"cpoe",-22.8,-0.127225074781537
"cpoe",-22.7,-0.126674564901078
"cpoe",-22.6,-0.126124055020618
"cpoe",-22.5,-0.125573545140159
"cpoe",-22.4,-0.125023035259699
"cpoe",-22.3,-0.12447252537924
"cpoe",-22.2,-0.123922015498781
"cpoe",-22.1,-0.123371505618321
"cpoe",-22,-0.122820995737862
"cpoe",-21.9,-0.122270485857402
"cpoe",-21.8,-0.121719975976943
"cpoe",-21.7,-0.121169466096484
"cpoe",-21.6,-0.120618956216024
"cpoe",-21.5,-0.120068446335565
"cpoe",-21.4,-0.119517936455105
"cpoe",-21.3,-0.118967426574646
"cpoe",-21.2,-0.118416916694186
"cpoe",-21.1,-0.117866406813727
"cpoe",-21,-0.117315896933268
"cpoe",-20.9,-0.116765387052808
"cpoe",-20.8,-0.116214877172349
"cpoe",-20.7,-0.115664367291889
"cpoe",-20.6,-0.11511385741143
"cpoe",-20.5,-0.114563347530971
"cpoe",-20.4,-0.114012837650511
"cpoe",-20.3,-0.113462327770052
"cpoe",-20.2,-0.112911817889592
"cpoe",-20.1,-0.112361308009133
"cpoe",-20,-0.111810798128674
"cpoe",-19.9,-0.111260288248214
"cpoe",-19.8,-0.110709778367755
"cpoe",-19.7,-0.110159268487295
"cpoe",-19.6,-0.109608758606836
"cpoe",-19.5,-0.109058248726376
"cpoe",-19.4,-0.108507738845917
"cpoe",-19.3,-0.107957228965458
"cpoe",-19.2,-0.107406719084998
"cpoe",-19.1,-0.106856209204539
"cpoe",-19,-0.106305699324079
"cpoe",-18.9,-0.10575518944362
"cpoe",-18.8,-0.105204679563161
"cpoe",-18.7,-0.104654169682701
"cpoe",-18.6,-0.104103659802242
"cpoe",-18.5,-0.103553149921782
"cpoe",-18.4,-0.103002640041323
"cpoe",-18.3,-0.102452130160863
"cpoe",-18.2,-0.101901620280404
"cpoe",-18.1,-0.101351110399945
"cpoe",-18,-0.100800600519485
"cpoe",-17.9,-0.100250090639026
"cpoe",-17.8,-0.0996995807585664
"cpoe",-17.7,-0.099149070878107
"cpoe",-17.6,-0.0985985609976475
"cpoe",-17.5,-0.0980480511171882
"cpoe",-17.4,-0.0974975412367287
